SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
24.11,11.0,13072.0,23.0,22.0,b'ack',55.0,b'-------',12.0,408.0,16103.0,885665.0,b'Router',b'Switch2',2.451157,2.451157,2.46116,0.0,328.522947,18068.8,55.0,0.008446,0.0,2.441154,2.471163,1.030019,50.046382,b'Normal'
2.0,24.2,183804.0,2.0,21.0,b'tcp',1540.0,b'-------',3.0,5742.0,16091.0,24780100.0,b'clien-2',b'Switch1',18.518848,18.518848,18.528971,0.0,328.26404,505526.0,1540.0,0.236321,0.0,18.518848,18.549218,1.0,50.018467,b'Normal'
15.0,24.15,555513.0,23.0,24.0,b'tcp',1540.0,b'-------',16.0,15511.0,16092.0,24781700.0,b'Router',b'server1',48.258253,48.258253,48.268376,0.0,328.205808,505437.0,1540.0,0.236337,0.0,48.238006,48.268376,1.0,50.030211,b'Normal'
1.2,24.43,25407.0,21.0,23.0,b'cbr',1500.0,b'-------',22.0,976.0,9108.0,13662000.0,b'switch1',b'router',24.708886,24.710926,24.721046,0.00204,1016.54293,1524810.0,1500.0,0.130291,0.0354,24.698286,24.733686,1.0,9.959779,b'UDP-Flood'
3.1,24.23,584008.0,23.0,24.0,b'cbr',1000.0,b'-------',24.0,3391.0,6250.0,6250000.0,b'Router',b'server1',52.1484,52.14864,52.15872,0.00024,124.943226,124943.0,1000.0,0.059605,0.00048,52.128,52.15872,25.0,75.02272,b'Normal'
8.1,24.28,626802.0,8.0,21.0,b'cbr',1000.0,b'-------',29.0,5516.0,6250.0,6250000.0,b'clien-8',b'Switch1',69.128,69.128,69.13808,0.0,124.941228,124941.0,1000.0,0.059605,0.00128,69.128,69.15952,25.0,75.02352,b'Normal'
24.3,3.0,154641.0,21.0,3.0,b'ack',55.0,b'-------',4.0,4812.0,16091.0,885005.0,b'Switch1',b'clien-3',15.7923,15.7923,15.802303,0.0,328.241051,18053.3,55.0,0.00844,0.0,15.772293,15.802303,1.030029,50.051929,b'Normal'
13.1,24.33,503378.0,22.0,23.0,b'cbr',1000.0,b'-------',34.0,2405.0,6250.0,6250000.0,b'Switch2',b'Router',44.25008,44.250326,44.260406,0.000246,124.943026,124943.0,1000.0,0.059605,0.00061,44.24,44.27085,25.0,75.0228,b'Normal'
11.1,24.31,609004.0,22.0,23.0,b'cbr',1000.0,b'-------',32.0,4632.0,6250.0,6250000.0,b'Switch2',b'Router',62.06608,62.06616,62.07624,8e-05,124.943825,124944.0,1000.0,0.059605,0.00024,62.056,62.08648,25.0,75.02248,b'Normal'
24.5,5.0,399353.0,23.0,21.0,b'ack',55.0,b'-------',6.0,11568.0,16091.0,885005.0,b'Router',b'Switch1',36.271371,36.271371,36.281374,0.0,328.204851,18051.3,55.0,0.00844,0.0,36.261368,36.291378,1.030042,50.057349,b'Normal'
13.0,24.13,286482.0,22.0,23.0,b'tcp',1540.0,b'-------',14.0,8735.0,16103.0,24798600.0,b'Switch2',b'Router',27.61077,27.6112,27.621323,0.00043,328.460131,505828.0,1540.0,0.236498,0.0016,27.600646,27.632616,1.0,50.025737,b'Normal'
2.0,24.2,211392.0,21.0,23.0,b'tcp',1540.0,b'-------',3.0,6601.0,16091.0,24780100.0,b'Switch1',b'Router',21.12503,21.12503,21.135154,0.0,328.26404,505526.0,1540.0,0.236321,0.0,21.114907,21.145277,1.0,50.018467,b'Normal'
